# Yb-doped ALUMINOSILICATE silica fiber cross-sections (host match for
# Coherent/Nufern SM-YDF-5/130-VIII). Measured data, NOT hand-traced.
#
# PRIMARY DATA SOURCE (full numeric table; NOT peer-reviewed preprint):
#   M.A. Melkumov, I.A. Bufetov, K.S. Kravtsov, A.V. Shubin, E.M. Dianov,
#   'Absorption and emission cross section of Yb3+ ions in Al2O3 and P2O5
#   doped fibers', FORC Preprint No. 5, Moscow, 2004; arXiv:1502.02885,
#   Appendix 2, aluminosilicate ('AC'/AS) columns.
# PEER-REVIEWED VERSION (shorter, does NOT contain this table):
#   Mel'kumov et al., 'Lasing parameters of ytterbium-doped fibres doped
#   with P2O5 and Al2O3', Quantum Electronics 34(9), 843-848 (2004),
#   DOI 10.1070/QE2004v034n09ABEH002688.
# Host: Al2O3-silica (1-2 wt% Al, 1-3 wt% Yb, small GeO2), MCVD.
# tau = 0.83e-3 s. T = 293 K. Absorption/emission peak (zero line) = 976.0 nm.
# Central abs FWHM 7.7 nm. Peak sigma_a(976)=2.69e-24 m^2, sigma_e/sigma_a|peak=1.10.
# Long-wavelength (>~1000 nm) absorption is McCumber-derived in the source.
# Grid: ~4 nm spacing, 1 nm near the peak (968-986 nm). Range 848-1180 nm.
# Converted from published pm^2 (melkumov_AS_raw.csv) by sigma_m2 = sigma_pm2 * 1e-24.
# Regenerate with `python -m ase.cross_sections`.
# Columns: lambda_nm, sigma_a_m2, sigma_e_m2
lambda_nm,sigma_a_m2,sigma_e_m2
848.0,3.300000e-26,2.200000e-29
852.0,4.100000e-26,3.500000e-29
856.0,5.700000e-26,6.300000e-29
860.0,7.500000e-26,1.100000e-28
864.0,9.000000e-26,1.700000e-28
868.0,1.100000e-25,2.700000e-28
872.0,1.400000e-25,4.400000e-28
876.0,1.700000e-25,6.900000e-28
880.0,2.100000e-25,1.100000e-27
884.0,2.600000e-25,1.700000e-27
888.0,3.100000e-25,2.600000e-27
892.0,3.700000e-25,3.900000e-27
896.0,4.300000e-25,5.800000e-27
900.0,5.000000e-25,8.600000e-27
904.0,5.700000e-25,1.200000e-26
908.0,6.200000e-25,1.700000e-26
912.0,6.500000e-25,2.200000e-26
916.0,6.500000e-25,2.900000e-26
920.0,6.200000e-25,3.400000e-26
924.0,5.700000e-25,3.900000e-26
928.0,5.100000e-25,4.400000e-26
932.0,4.400000e-25,4.800000e-26
936.0,3.800000e-25,5.000000e-26
940.0,3.200000e-25,5.300000e-26
944.0,2.800000e-25,5.700000e-26
948.0,2.400000e-25,6.200000e-26
952.0,2.300000e-25,7.400000e-26
956.0,2.400000e-25,9.500000e-26
960.0,2.600000e-25,1.300000e-25
964.0,2.800000e-25,1.700000e-25
968.0,3.500000e-25,2.600000e-25
969.0,4.400000e-25,3.400000e-25
970.0,5.700000e-25,4.600000e-25
971.0,8.300000e-25,7.000000e-25
972.0,1.210000e-24,1.080000e-24
973.0,1.680000e-24,1.580000e-24
974.0,2.170000e-24,2.140000e-24
975.0,2.550000e-24,2.650000e-24
976.0,2.690000e-24,2.970000e-24
977.0,2.530000e-24,2.940000e-24
978.0,2.220000e-24,2.710000e-24
979.0,1.770000e-24,2.280000e-24
980.0,1.320000e-24,1.780000e-24
981.0,9.100000e-25,1.290000e-24
982.0,6.100000e-25,9.100000e-25
983.0,4.300000e-25,6.700000e-25
984.0,3.200000e-25,5.300000e-25
985.0,2.600000e-25,4.500000e-25
986.0,2.300000e-25,4.100000e-25
988.0,1.800000e-25,3.600000e-25
992.0,1.400000e-25,3.300000e-25
996.0,1.100000e-25,3.300000e-25
1000.0,9.900000e-26,3.600000e-25
1004.0,9.200000e-26,4.000000e-25
1008.0,8.800000e-26,4.600000e-25
1012.0,8.400000e-26,5.300000e-25
1016.0,7.800000e-26,6.000000e-25
1020.0,7.000000e-26,6.500000e-25
1024.0,5.900000e-26,6.500000e-25
1028.0,4.900000e-26,6.500000e-25
1032.0,3.800000e-26,6.000000e-25
1036.0,2.900000e-26,5.500000e-25
1040.0,2.200000e-26,4.900000e-25
1044.0,1.600000e-26,4.400000e-25
1048.0,1.200000e-26,3.900000e-25
1052.0,9.000000e-27,3.500000e-25
1056.0,7.200000e-27,3.300000e-25
1060.0,5.700000e-27,3.100000e-25
1064.0,4.600000e-27,3.000000e-25
1068.0,3.800000e-27,2.900000e-25
1072.0,3.000000e-27,2.700000e-25
1076.0,2.400000e-27,2.600000e-25
1080.0,1.800000e-27,2.300000e-25
1084.0,1.500000e-27,2.200000e-25
1088.0,1.200000e-27,2.100000e-25
1092.0,9.500000e-28,1.900000e-25
1096.0,7.300000e-28,1.800000e-25
1100.0,5.600000e-28,1.600000e-25
1104.0,4.200000e-28,1.400000e-25
1108.0,3.200000e-28,1.200000e-25
1112.0,2.400000e-28,1.100000e-25
1116.0,1.900000e-28,9.800000e-26
1120.0,1.400000e-28,8.800000e-26
1124.0,1.100000e-28,7.600000e-26
1128.0,8.500000e-29,7.100000e-26
1132.0,6.300000e-29,6.100000e-26
1136.0,4.900000e-29,5.500000e-26
1140.0,3.600000e-29,4.700000e-26
1144.0,2.800000e-29,4.200000e-26
1148.0,2.000000e-29,3.500000e-26
1152.0,1.600000e-29,3.100000e-26
1156.0,1.100000e-29,2.700000e-26
1160.0,8.600000e-30,2.300000e-26
1164.0,6.800000e-30,2.100000e-26
1168.0,4.900000e-30,1.800000e-26
1172.0,3.500000e-30,1.400000e-26
1176.0,3.100000e-30,1.400000e-26
1180.0,2.200000e-30,1.200000e-26
