# Yb3+ absorption & emission cross-sections, ALUMINOSILICATE (AS) fiber.
# Source: M.A. Melkumov, I.A. Bufetov, K.S. Kravtsov, A.V. Shubin, E.M. Dianov,
#   'Absorption and emission cross section of Yb3+ ions in Al2O3 and P2O5 doped
#    fibers', Fiber Optics Research Center (FORC) Preprint No. 5, Moscow, 2004;
#    arXiv:1502.02885, Appendix 2 (Prilozhenie 2), AS ('AC') columns.
#   NOT peer-reviewed (preprint). Peer-reviewed short version w/o this table:
#   Quantum Electronics 34(9), 843-848 (2004), DOI 10.1070/QE2004v034n09ABEH002688.
# Host: Al2O3-doped silica (+small GeO2). tau=0.83 ms. T=293 K. zero line 976.0 nm.
# Units AS PUBLISHED: sigma in pm^2 = 1e-24 m^2. Grid ~4 nm (1 nm near peak 968-986).
lambda_nm,sigma_a_pm2,sigma_e_pm2
848.0,0.033,2.2e-05
852.0,0.041,3.5e-05
856.0,0.057,6.3e-05
860.0,0.075,0.00011
864.0,0.09,0.00017
868.0,0.11,0.00027
872.0,0.14,0.00044
876.0,0.17,0.00069
880.0,0.21,0.0011
884.0,0.26,0.0017
888.0,0.31,0.0026
892.0,0.37,0.0039
896.0,0.43,0.0058
900.0,0.5,0.0086
904.0,0.57,0.012
908.0,0.62,0.017
912.0,0.65,0.022
916.0,0.65,0.029
920.0,0.62,0.034
924.0,0.57,0.039
928.0,0.51,0.044
932.0,0.44,0.048
936.0,0.38,0.05
940.0,0.32,0.053
944.0,0.28,0.057
948.0,0.24,0.062
952.0,0.23,0.074
956.0,0.24,0.095
960.0,0.26,0.13
964.0,0.28,0.17
968.0,0.35,0.26
969.0,0.44,0.34
970.0,0.57,0.46
971.0,0.83,0.7
972.0,1.21,1.08
973.0,1.68,1.58
974.0,2.17,2.14
975.0,2.55,2.65
976.0,2.69,2.97
977.0,2.53,2.94
978.0,2.22,2.71
979.0,1.77,2.28
980.0,1.32,1.78
981.0,0.91,1.29
982.0,0.61,0.91
983.0,0.43,0.67
984.0,0.32,0.53
985.0,0.26,0.45
986.0,0.23,0.41
988.0,0.18,0.36
992.0,0.14,0.33
996.0,0.11,0.33
1000.0,0.099,0.36
1004.0,0.092,0.4
1008.0,0.088,0.46
1012.0,0.084,0.53
1016.0,0.078,0.6
1020.0,0.07,0.65
1024.0,0.059,0.65
1028.0,0.049,0.65
1032.0,0.038,0.6
1036.0,0.029,0.55
1040.0,0.022,0.49
1044.0,0.016,0.44
1048.0,0.012,0.39
1052.0,0.009,0.35
1056.0,0.0072,0.33
1060.0,0.0057,0.31
1064.0,0.0046,0.3
1068.0,0.0038,0.29
1072.0,0.003,0.27
1076.0,0.0024,0.26
1080.0,0.0018,0.23
1084.0,0.0015,0.22
1088.0,0.0012,0.21
1092.0,0.00095,0.19
1096.0,0.00073,0.18
1100.0,0.00056,0.16
1104.0,0.00042,0.14
1108.0,0.00032,0.12
1112.0,0.00024,0.11
1116.0,0.00019,0.098
1120.0,0.00014,0.088
1124.0,0.00011,0.076
1128.0,8.5e-05,0.071
1132.0,6.3e-05,0.061
1136.0,4.9e-05,0.055
1140.0,3.6e-05,0.047
1144.0,2.8e-05,0.042
1148.0,2e-05,0.035
1152.0,1.6e-05,0.031
1156.0,1.1e-05,0.027
1160.0,8.6e-06,0.023
1164.0,6.8e-06,0.021
1168.0,4.9e-06,0.018
1172.0,3.5e-06,0.014
1176.0,3.1e-06,0.014
1180.0,2.2e-06,0.012
